Serial Number,Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Test,Population
89,Egypt,515645.0,155.0,29.0,48850.0,3693367.0,799.0
90,Libya,507162.0,155.0,29.0,4.0,2483446.0,799.0
91,China,503302.0,155.0,29.0,118977.0,160000000.0,799.0
92,Ethiopia,499531.0,155.0,29.0,5428.0,5459809.0,799.0
93,Qatar,492534.0,686.0,29.0,263.0,4065369.0,799.0
94,Réunion,485895.0,919.0,29.0,66404.0,1603660.0,799.0
95,Honduras,470757.0,155.0,29.0,,1619676.0,799.0
96,Armenia,446008.0,155.0,29.0,2129.0,3242901.0,799.0
97,Bosnia and Herzegovina,401384.0,155.0,29.0,6045.0,1884721.0,799.0
98,Oman,399449.0,155.0,29.0,10152.0,25000000.0,799.0
99,North Macedonia,346428.0,155.0,29.0,167.0,2216193.0,799.0
100,Kenya,342810.0,155.0,29.0,82.0,3967062.0,799.0
101,Zambia,340763.0,155.0,29.0,1612.0,3865993.0,799.0
102,Albania,334167.0,155.0,29.0,1621.0,1941032.0,799.0
103,Botswana,329227.0,155.0,29.0,493.0,2026898.0,799.0
104,Luxembourg,297757.0,155.0,29.0,7633.0,4412567.0,799.0
105,Montenegro,286355.0,155.0,29.0,348.0,2697814.0,799.0
106,Brunei,275220.0,225.0,29.0,31394.0,717784.0,799.0
107,Algeria,271378.0,155.0,29.0,81748.0,230861.0,799.0
108,Nigeria,266463.0,155.0,29.0,3458.0,5708974.0,799.0
109,Zimbabwe,261606.0,155.0,29.0,1003.0,2525756.0,799.0
110,Uzbekistan,250567.0,155.0,29.0,7444.0,1377915.0,799.0
111,Mozambique,231994.0,155.0,29.0,956.0,1371127.0,799.0
112,Martinique,229687.0,155.0,29.0,,828928.0,799.0
113,Laos,217973.0,758.0,29.0,,1233207.0,799.0
114,Iceland,208688.0,229.0,29.0,,1996384.0,799.0
115,Afghanistan,208545.0,155.0,29.0,14575.0,1188898.0,799.0
116,Kyrgyzstan,206592.0,155.0,29.0,7195.0,1907195.0,799.0
117,El Salvador,201785.0,155.0,29.0,18145.0,2610114.0,799.0
118,Guadeloupe,201394.0,155.0,29.0,,938039.0,799.0
119,Trinidad and Tobago,187908.0,155.0,29.0,318.0,888936.0,799.0
120,Maldives,185715.0,311.0,29.0,21717.0,2213831.0,799.0
121,Ghana,171112.0,155.0,29.0,14.0,2527319.0,799.0
122,Namibia,170741.0,155.0,29.0,201.0,1062663.0,799.0
123,Uganda,170400.0,155.0,29.0,66339.0,3012408.0,799.0
124,Jamaica,153407.0,155.0,29.0,47715.0,1183986.0,799.0
125,Cambodia,138693.0,155.0,29.0,13.0,3091420.0,799.0
126,Rwanda,133090.0,155.0,29.0,63.0,5959042.0,799.0
127,Cameroon,123993.0,155.0,29.0,3412.0,1751774.0,799.0
128,Malta,117062.0,824.0,29.0,615.0,2109235.0,799.0
129,Barbados,106157.0,571.0,29.0,16.0,790354.0,799.0
130,Angola,105184.0,155.0,29.0,37.0,1499795.0,799.0
131,Channel Islands,101116.0,223.0,29.0,115.0,1252808.0,799.0
132,French Guiana,98028.0,420.0,29.0,86354.0,651257.0,799.0
133,DRC,95514.0,155.0,29.0,9787.0,846704.0,799.0
134,Senegal,88902.0,155.0,29.0,2.0,1146543.0,799.0
135,Malawi,88559.0,155.0,29.0,504.0,624784.0,799.0
136,Ivory Coast,87982.0,833.0,29.0,11.0,1671684.0,799.0
137,Suriname,82020.0,155.0,29.0,,239603.0,799.0
138,New Caledonia,79845.0,314.0,29.0,5.0,98964.0,799.0
139,French Polynesia,77957.0,649.0,29.0,,,799.0
140,Eswatini,74133.0,155.0,29.0,35.0,1048704.0,799.0
141,Guyana,72950.0,155.0,29.0,299.0,717867.0,799.0
142,Belize,70660.0,688.0,29.0,23.0,576016.0,799.0
143,Fiji,68820.0,883.0,29.0,1157.0,667715.0,799.0
144,Madagascar,67827.0,155.0,29.0,38.0,524209.0,799.0
145,Sudan,63742.0,155.0,29.0,457.0,562941.0,799.0
146,Mauritania,63665.0,997.0,29.0,231.0,1009957.0,799.0
147,Cabo Verde,63229.0,413.0,29.0,60.0,401622.0,799.0
148,Bhutan,62605.0,21.0,29.0,1020.0,2303734.0,799.0
149,Syria,57453.0,155.0,29.0,0.0,146269.0,799.0
150,Burundi,53492.0,38.0,29.0,60.0,345742.0,799.0
151,Seychelles,50665.0,172.0,29.0,53.0,,799.0
152,Gabon,48981.0,306.0,29.0,1.0,1621909.0,799.0
153,Andorra,47839.0,165.0,29.0,111.0,249838.0,799.0
154,Papua New Guinea,46750.0,670.0,29.0,2098.0,249149.0,799.0
155,Curaçao,45986.0,295.0,29.0,971.0,496693.0,799.0
156,Aruba,43993.0,236.0,29.0,1319.0,177885.0,799.0
157,Tanzania,42664.0,846.0,29.0,,,799.0
158,Mayotte,42002.0,188.0,29.0,,176919.0,799.0
159,Mauritius,41652.0,155.0,29.0,666.0,358675.0,799.0
160,Togo,39354.0,290.0,29.0,3.0,806803.0,799.0
161,Guinea,38240.0,467.0,29.0,16.0,660107.0,799.0
162,Isle of Man,38008.0,116.0,29.0,,150753.0,799.0
163,Bahamas,37491.0,833.0,29.0,292.0,257839.0,799.0
164,Lesotho,34790.0,723.0,29.0,8087.0,431221.0,799.0
165,Faeroe Islands,34658.0,28.0,29.0,,778000.0,799.0
166,Haiti,34076.0,860.0,29.0,183.0,132422.0,799.0
167,Mali,32783.0,743.0,29.0,83.0,789342.0,799.0
168,Cayman Islands,31472.0,37.0,29.0,22882.0,222773.0,799.0
169,Saint Lucia,29803.0,409.0,29.0,299.0,210983.0,799.0
